Layer,  Layer Height [mm], Area [mm²], Contours [mm], Hatches [mm]
    143,     0.525,     2203.26,     5571.09,        0.00
    144,     0.540,     2203.39,     5570.97,        0.00
    145,     0.555,     2203.53,     5570.85,        0.00
    146,     0.570,     2203.67,     5570.71,        0.00
    147,     0.585,     2203.83,     5570.55,        0.00
    148,     0.600,     2204.05,     5570.34,        0.00
    149,     0.615,     1796.02,     5035.74,        0.00
    150,     0.630,     1796.56,     5035.23,        0.00
    151,     0.645,     1797.12,     5034.70,        0.00
    152,     0.660,     1797.98,     5034.24,        0.00
    153,     0.675,     1799.58,     5028.97,        0.00
    154,     0.690,     1799.58,     5028.97,        0.00
    155,     0.700,     1799.58,     5028.97,        0.00
    156,     0.705,     1325.69,     4308.30,        0.00
    157,     0.720,     1325.69,     4308.30,        0.00
    158,     0.735,     1325.69,     4308.30,        0.00
    159,     0.750,     1325.69,     4308.30,        0.00
    160,     0.765,     1325.69,     4308.30,        0.00
    161,     0.780,     1325.69,     4308.30,        0.00
    162,     0.795,     1325.69,     4308.30,        0.00
    163,     0.800,     1325.69,     4308.30,        0.00
    164,     0.810,      788.87,     3272.37,        0.00
    165,     0.825,      788.88,     3272.37,        0.00
    166,     0.840,      788.88,     3272.37,        0.00
    167,     0.855,      788.88,     3272.37,        0.00
    168,     0.870,      788.88,     3272.37,        0.00
    169,     0.885,      788.88,     3272.37,        0.00
    170,     0.900,      788.88,     3272.37,        0.00
    171,     0.915,      202.75,      499.32,        0.00
    172,     0.930,      202.75,      499.31,        0.00
    173,     0.945,      202.75,      499.31,        0.00
    174,     0.960,      202.75,      499.31,        0.00
    175,     0.975,      202.75,      499.31,        0.00
    176,     0.990,      202.75,      499.31,        0.00
    177,     1.000,      202.75,      499.31,        0.00
    178,     1.005,      192.46,      523.98,        0.00
    179,     1.020,      192.47,      523.98,        0.00
    180,     1.035,      192.47,      523.98,        0.00
    181,     1.050,      192.46,      523.98,        0.00
    182,     1.065,      192.46,      523.98,        0.00
    183,     1.080,      192.47,      523.98,        0.00
    184,     1.095,      192.46,      523.98,        0.00
    185,     1.100,      192.46,      523.98,        0.00
    186,     1.110,      205.00,      550.90,        0.00
    187,     1.125,      205.00,      550.90,        0.00
    188,     1.140,      205.00,      550.90,        0.00
    189,     1.155,      205.00,      550.90,        0.00
    190,     1.170,      205.00,      550.90,        0.00
    191,     1.185,      205.00,      550.90,        0.00
    192,     1.200,      205.00,      550.90,        0.00
    193,     1.215,      215.14,      565.73,        0.00
    194,     1.230,      215.14,      565.73,        0.00
    195,     1.245,      215.14,      565.73,        0.00
    196,     1.260,      215.14,      565.73,        0.00
    197,     1.275,      215.14,      565.73,        0.00
    198,     1.290,      215.14,      565.73,        0.00
    199,     1.300,      215.14,      565.73,        0.00
    200,     1.305,      222.80,      572.49,        0.00
    201,     1.320,      222.80,      572.49,        0.00
    202,     1.335,      222.80,      572.49,        0.00
    203,     1.350,      222.80,      572.49,        0.00
    204,     1.365,      222.80,      572.49,        0.00
    205,     1.380,      222.80,      572.49,        0.00
    206,     1.395,      222.80,      572.49,        0.00
    207,     1.400,      222.80,      572.49,        0.00
    208,     1.410,      227.62,      583.58,        0.00
    209,     1.425,      227.62,      583.58,        0.00
    210,     1.440,      227.62,      583.58,        0.00
    211,     1.455,      227.62,      583.58,        0.00
    212,     1.470,      227.62,      583.58,        0.00
    213,     1.485,      227.62,      583.58,        0.00
    214,     1.500,      227.62,      583.58,        0.00
    215,     1.515,      228.73,      584.43,        0.00
    216,     1.530,      228.73,      584.43,        0.00
    217,     1.545,      228.73,      584.43,        0.00
    218,     1.560,      228.73,      584.43,        0.00
    219,     1.575,      210.66,      569.35,        0.00
    220,     1.590,      210.66,      569.35,        0.00
    221,     1.600,      210.66,      569.35,        0.00
    222,     1.605,      208.36,      557.91,        0.00
    223,     1.620,      208.36,      557.91,        0.00
    224,     1.635,      208.36,      557.91,        0.00
    225,     1.650,      208.36,      557.91,        0.00
    226,     1.665,      208.36,      557.91,        0.00
    227,     1.680,      208.36,      557.91,        0.00
    228,     1.695,      208.36,      557.91,        0.00
    229,     1.700,      208.36,      557.91,        0.00
    230,     1.710,      203.53,      552.42,        0.00
    231,     1.725,      203.53,      552.42,        0.00
    232,     1.740,      203.53,      552.42,        0.00
    233,     1.755,      203.53,      552.42,        0.00
    234,     1.770,      203.53,      552.42,        0.00
    235,     1.785,      203.53,      552.42,        0.00
    236,     1.800,      203.53,      552.42,        0.00
    237,     1.815,      196.06,      549.43,        0.00
    238,     1.830,      196.06,      549.43,        0.00
    239,     1.845,      196.06,      549.43,        0.00
    240,     1.860,      196.06,      549.43,        0.00
    241,     1.875,      196.06,      549.43,        0.00
    242,     1.890,      196.06,      549.43,        0.00
    243,     1.900,      196.06,      549.43,        0.00
    244,     1.905,      186.13,      534.34,        0.00
    245,     1.920,      186.13,      534.34,        0.00
    246,     1.935,      186.13,      534.34,        0.00
    247,     1.950,      186.13,      534.34,        0.00
    248,     1.965,      186.13,      534.34,        0.00
    249,     1.980,      186.13,      534.34,        0.00
    250,     1.995,      186.13,      534.34,        0.00
    251,     2.000,      186.13,      534.34,        0.00
    252,     2.010,      793.52,     3302.13,        0.00
    253,     2.025,      793.52,     3302.13,        0.00
    254,     2.040,      793.52,     3302.13,        0.00
    255,     2.055,      793.52,     3302.13,        0.00
    256,     2.070,      793.52,     3302.13,        0.00
    257,     2.085,      793.52,     3302.13,        0.00
    258,     2.100,      793.52,     3302.13,        0.00
    259,     2.115,     1331.80,     4349.67,        0.00
    260,     2.130,     1331.80,     4349.67,        0.00
    261,     2.145,     1331.80,     4349.67,        0.00
    262,     2.160,     1331.80,     4349.67,        0.00
    263,     2.175,     1331.80,     4349.67,        0.00
    264,     2.190,     1331.80,     4349.67,        0.00
    265,     2.200,     1331.80,     4349.67,        0.00
    266,     2.205,     1803.97,     5063.65,        0.00
    267,     2.220,     1803.97,     5063.65,        0.00
    268,     2.235,     1803.97,     5063.65,        0.00
    269,     2.250,     1803.97,     5063.65,        0.00
    270,     2.265,     1803.97,     5063.65,        0.00
    271,     2.280,     1803.97,     5063.65,        0.00
    272,     2.295,     1803.97,     5063.65,        0.00
    273,     2.300,     1803.97,     5063.65,        0.00
    274,     2.310,     2212.31,     5597.24,        0.00
    275,     2.325,     2212.31,     5597.24,        0.00
    276,     2.340,     2212.31,     5597.24,        0.00
    277,     2.355,     2212.31,     5597.24,        0.00
    278,     2.370,     2212.31,     5597.24,        0.00
    279,     2.385,     2212.31,     5597.24,        0.00
    280,     2.400,     2212.31,     5597.24,        0.00
    281,     2.415,     2556.34,     6006.18,        0.00
    282,     2.430,     2556.34,     6006.18,        0.00
    283,     2.445,     2556.34,     6006.18,        0.00
    284,     2.460,     2556.34,     6006.18,        0.00
    285,     2.475,     2556.34,     6006.18,        0.00
    286,     2.490,     2556.34,     6006.18,        0.00
    287,     2.500,     2556.34,     6006.18,        0.00
    288,     2.505,     2834.29,     6307.60,        0.00
    289,     2.520,     2834.29,     6307.60,        0.00
    290,     2.535,     2834.29,     6307.60,        0.00
    291,     2.550,     2834.29,     6307.60,        0.00
    292,     2.565,     2834.29,     6307.60,        0.00
    293,     2.580,     2834.29,     6307.60,        0.00
    294,     2.595,     2834.29,     6307.60,        0.00
    295,     2.600,     2834.29,     6307.60,        0.00
    296,     2.610,     3047.62,     6526.65,        0.00
    297,     2.625,     3047.62,     6526.65,        0.00
    298,     2.640,     3047.62,     6526.65,        0.00
    299,     2.655,     3047.62,     6526.65,        0.00
    300,     2.670,     3047.62,     6526.65,        0.00
    301,     2.685,     3047.62,     6526.65,        0.00
    302,     2.700,     3047.62,     6526.65,        0.00
    303,     2.715,     3196.26,     6668.16,        0.00
    304,     2.730,     3196.26,     6668.16,        0.00
    305,     2.745,     3196.26,     6668.16,        0.00
    306,     2.760,     3196.26,     6668.16,        0.00
    307,     2.775,     3196.26,     6668.16,        0.00
    308,     2.790,     3196.26,     6668.16,        0.00
    309,     2.800,     3196.26,     6668.16,        0.00
    310,     2.805,     3283.39,     6738.00,        0.00
    311,     2.820,     3283.39,     6738.00,        0.00
    312,     2.835,     3283.39,     6738.00,        0.00
    313,     2.850,     3283.39,     6738.00,        0.00
    314,     2.865,     3283.39,     6738.00,        0.00
    315,     2.880,     3283.39,     6738.00,        0.00
    316,     2.895,     3283.39,     6738.00,        0.00
    317,     2.900,     3283.39,     6738.00,        0.00
    318,     2.910,     3354.53,     7356.63,        0.00
    319,     2.925,     3354.53,     7356.63,        0.00
    320,     2.940,     3354.53,     7356.63,        0.00
    321,     2.955,     3354.53,     7356.63,        0.00
    322,     2.970,     3354.53,     7356.63,        0.00
    323,     2.985,     3354.53,     7356.63,        0.00
    324,     3.000,     3354.53,     7356.63,        0.00
    325,     3.015,     3175.70,     6408.27,        0.00
    326,     3.100,     3175.70,     6408.27,        0.00
    327,     3.200,     3078.67,     6310.87,        0.00
    328,     3.300,     2917.44,     6139.93,        0.00
    329,     3.400,     2692.17,     5898.94,        0.00
    330,     3.500,     2401.95,     5574.36,        0.00
    331,     3.600,     2046.78,     5147.41,        0.00
    332,     3.700,     1627.92,     4592.45,        0.00
    333,     3.800,     1144.67,     3855.12,        0.00
    334,     3.900,      596.80,     2792.25,        0.00
    335,     4.000,        0.00,        0.00,        0.00
    336,     4.100,        0.00,        0.00,        0.00
    337,     4.200,        0.00,        0.00,        0.00
